City_ID,City,Country,Max Temp,Conditions,Lat,Lng,Hotel Name
263,Key West,US,89.6,broken clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
268,Vendas Novas,PT,76.41,overcast clouds,38.6771,-8.4579,Hotel Acez
272,Tutoia,BR,84.7,broken clouds,-2.7619,-42.2744,Pousada Guará's
273,Banda Aceh,ID,76.64,moderate rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
282,Kingsville,US,87.06,scattered clouds,27.5159,-97.8561,Econo Lodge Kingsville
286,Lata,PT,79.92,overcast clouds,40.1629,-8.3327,Casa Maquia
292,Lumberton,US,81.32,clear sky,34.6182,-79.0086,"Country Inn & Suites by Radisson, Lumberton, NC"
293,San Ignacio,BZ,86.14,scattered clouds,17.1561,-89.0714,Rainforest Haven Inn
295,Panacan,PH,80.65,overcast clouds,9.2463,118.4082,Mom's Place Resort
296,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
300,Malakwal,PK,77.95,clear sky,32.5536,73.2123,Green Town
303,Sakakah,SA,87.66,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
304,Touros,BR,83.32,clear sky,-5.1989,-35.4608,INN NEW HORIZON
305,Jieshi,CN,79.03,broken clouds,22.8134,115.8257,Yuehai Hotel
306,San Anselmo,US,79.86,clear sky,37.9747,-122.5616,Four Points by Sheraton San Rafael Marin County
309,Hamilton,US,76.59,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
312,Pahrump,US,86.85,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
313,Gizo,SB,81.37,overcast clouds,-8.103,156.8419,Imagination Island
314,Jawhar,SO,76.95,overcast clouds,2.7809,45.5005,Hotel Shabelle
317,Takoradi,GH,77.31,overcast clouds,4.8845,-1.7554,Raybow International Hotel
319,Namatanai,PG,80.31,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
322,Menongue,AO,77.18,broken clouds,-14.6585,17.691,Ritz Lauca
324,Rafiganj,IN,78.94,scattered clouds,24.8167,84.65,Deepak namkeen & chart corner
325,Nanning,CN,76.21,scattered clouds,22.8167,108.3167,Nanning Travelling With Hostel
326,Phan Thiet,VN,77.43,overcast clouds,10.9333,108.1,Hotel Saigon-PT
328,Dzaoudzi,YT,76.89,clear sky,-12.7887,45.2699,Le Rocher
330,Tall Kayf,TR,76.39,clear sky,37.0833,41.0667,
332,Kavaratti,IN,81.5,overcast clouds,10.5669,72.642,Green leaf
336,Faanui,PF,77.83,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
343,Kothi,IN,76.15,broken clouds,24.75,80.7833,KILA THE HERITAGE PALACE
345,San Policarpo,PH,81.5,light rain,12.1791,125.5072,Agapita M. Nicart
348,Kutum,SD,85.62,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
354,Uribia,CO,79.63,overcast clouds,11.7139,-72.266,Hotel Uribia
360,Matay,EG,78.8,clear sky,28.419,30.7792,Nag Aespen
361,Lang Suan,TH,79.18,light rain,9.9456,99.0785,Langsuan Resort
363,Boyolangu,ID,75.09,overcast clouds,-8.1181,111.8935,Yos ega cv
365,Martapura,ID,75.29,mist,-3.4167,114.85,Montana Hotel Syariah
366,Springdale,US,81.48,clear sky,36.1867,-94.1288,Springdale Inn
368,Coruripe,BR,81.91,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
370,Jati,PK,82.58,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
371,Belmonte,BR,79.77,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
372,Kilindoni,TZ,76.44,clear sky,-7.9139,39.6668,Bustani B&B
377,Sesheke,ZM,80.02,clear sky,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
379,Tallahassee,US,84.99,clear sky,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
382,Bougouni,ML,81.7,scattered clouds,11.417,-7.479,Non Stop
383,Bukama,CD,82.18,broken clouds,-9.2,25.85,
386,Antalya,TR,75.79,broken clouds,36.7741,30.7178,
388,Alofi,NU,76.35,overcast clouds,-19.0595,-169.9187,Taloa Heights
390,Lalawigan,PH,80.6,light rain,11.5892,125.4697,Palms Apartment
404,San Patricio,US,88.07,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
410,Palasa,IN,77.86,heavy intensity rain,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
415,Diego De Almagro,CL,80.2,clear sky,-26.3667,-70.05,hotel luna del desierto
417,Guarapari,BR,76.57,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
418,Santa Barbara,US,84.34,clear sky,34.7333,-120.0343,Upper Ballard Campground
420,Buloh Kasap,MY,75.99,light rain,2.5536,102.764,Teratak Ixora Segamat
422,Meiktila,MM,77.09,few clouds,20.8667,95.8667,The Floral Breeze Wunzin Hotel
424,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
432,Kloulklubed,PW,77.5,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
435,Kissimmee,US,85.19,clear sky,28.3047,-81.4167,Baymont by Wyndham Kissimmee
443,Wilmington,US,80.51,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
444,Tautira,PF,76.28,light rain,-17.7333,-149.15,Pension Oaoa
450,Najran,SA,79.54,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
458,Santa Marta,CO,76.57,overcast clouds,11.2408,-74.199,Hotel La Ballena Azul
463,Caceres,ES,79.14,overcast clouds,39.522,-6.3748,Ahc Hoteles
465,Mbuji-Mayi,CD,78.1,overcast clouds,-6.15,23.6,HOTEL METROPOLE DU KASAI
469,Rancho Palos Verdes,US,78.08,broken clouds,33.7445,-118.387,Terranea Resort
470,Texas City,US,89.11,few clouds,29.3838,-94.9027,Crystal Suites
471,Lazaro Cardenas,MX,84.61,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
473,Lakatoro,VU,77.13,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
474,Meulaboh,ID,75.74,light rain,4.1363,96.1285,Kost Pria
475,Anloga,GH,78.4,scattered clouds,5.7947,0.8973,Pin Drop Hotel
479,Villamontes,BO,85.53,broken clouds,-21.25,-63.5,Hotel Raldes
481,Gamba,GA,76.32,broken clouds,-2.65,10.0,
483,Daru,PG,79.43,overcast clouds,-9.0763,143.2092,Daru Lodge
488,Kota Kinabalu,MY,76.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
490,Thai Binh,VN,77.59,clear sky,20.45,106.3333,Sweden Hotel
491,Soke,ML,88.02,scattered clouds,13.598,-5.9386,
492,Duncan,US,88.38,overcast clouds,34.5023,-97.9578,Days Inn by Wyndham Duncan
494,Kathu,TH,78.62,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
497,Gouyave,GD,79.68,overcast clouds,12.1646,-61.7296,Rumboat Retreat
498,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
506,Altos Del Rosario,CO,85.33,overcast clouds,8.7944,-74.1658,Hotel El Profe
510,Ibra,OM,81.16,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
512,San Rafael,AR,80.76,scattered clouds,-34.6177,-68.3301,Hotel San Rafael
517,Bandarbeyla,SO,78.4,broken clouds,9.4942,50.8122,JABIR HOTEL
